"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","16,929.7","16,822.5","16,974.4","16,814.5","","0.98%"
"02/01/2026","16,765.0","16,790.0","16,960.0","16,732.5","","-0.12%"
"01/01/2026","16,785.0","16,675.0","16,987.5","16,675.0","","0.66%"
"12/01/2025","16,675.0","16,660.0","16,800.0","16,615.0","","0.12%"
"11/01/2025","16,655.0","16,635.0","16,765.0","16,620.0","","0.15%"
"10/01/2025","16,630.0","16,660.0","16,705.5","16,509.5","","-0.21%"
"09/01/2025","16,665.0","16,475.0","16,800.0","16,294.0","","1.06%"
"08/01/2025","16,490.0","16,512.5","16,515.0","16,085.0","","0.21%"
"07/01/2025","16,455.0","16,170.0","16,466.0","16,162.5","","1.36%"
"06/01/2025","16,235.0","16,320.0","16,497.5","16,187.5","","-0.34%"
"05/01/2025","16,290.0","16,600.0","16,615.0","16,155.0","","-1.87%"
"04/01/2025","16,600.0","16,560.0","16,972.5","16,560.0","","0.24%"
"03/01/2025","16,560.0","16,540.0","16,645.0","16,260.0","","-0.12%"
"02/01/2025","16,580.0","16,400.0","16,592.5","16,174.0","","1.72%"
"01/01/2025","16,300.0","16,095.0","16,392.5","16,095.0","","1.31%"
"12/01/2024","16,090.0","15,870.0","16,322.5","15,830.0","","1.58%"
"11/01/2024","15,840.0","15,705.0","15,971.5","15,617.5","","0.96%"
"10/01/2024","15,690.0","15,175.0","15,778.5","15,167.5","","3.67%"
"09/01/2024","15,135.0","15,497.5","15,583.5","15,065.0","","-2.04%"
"08/01/2024","15,450.0","16,255.0","16,281.5","15,295.0","","-4.95%"
"07/01/2024","16,255.0","16,352.5","16,427.5","16,096.0","","-0.70%"
"06/01/2024","16,370.0","16,255.0","16,482.5","16,190.0","","0.77%"
"05/01/2024","16,245.0","16,250.0","16,275.0","15,912.5","","-0.06%"
"04/01/2024","16,255.0","15,875.0","16,290.0","15,842.5","","2.56%"
"03/01/2024","15,850.0","15,722.5","15,894.0","15,557.5","","0.89%"
"02/01/2024","15,710.0","15,787.5","15,802.5","15,547.5","","-0.41%"
"01/01/2024","15,775.0","15,430.0","15,847.5","15,430.0","","2.47%"
"12/01/2023","15,395.0","15,520.0","15,677.5","15,380.0","","-0.71%"
"11/01/2023","15,505.0","15,925.0","15,953.5","15,357.5","","-2.36%"
"10/01/2023","15,880.0","15,492.5","15,967.5","15,492.5","","2.78%"
"09/01/2023","15,450.0","15,227.5","15,542.5","15,215.0","","1.48%"
"08/01/2023","15,225.0","15,112.5","15,359.5","15,018.5","","1.00%"
"07/01/2023","15,075.0","15,005.0","15,222.0","14,913.0","","0.57%"
"06/01/2023","14,990.0","14,895.0","15,052.5","14,819.5","","0.03%"
"05/01/2023","14,985.0","14,645.0","15,018.5","14,565.0","","2.18%"
"04/01/2023","14,665.0","15,000.0","15,012.5","14,627.5","","-2.17%"
"03/01/2023","14,990.0","15,240.0","15,480.0","14,950.0","","-1.67%"
"02/01/2023","15,245.0","15,000.0","15,312.5","14,835.0","","1.74%"
"01/01/2023","14,985.0","15,490.0","15,643.0","14,884.0","","-3.73%"
"12/01/2022","15,565.0","15,622.5","15,765.0","15,365.0","","-1.05%"
"11/01/2022","15,730.0","15,630.0","15,761.5","15,392.5","","0.87%"
"10/01/2022","15,595.0","15,245.0","15,651.5","15,156.5","","2.43%"
"09/01/2022","15,225.0","14,865.0","15,280.0","14,815.0","","2.59%"
"08/01/2022","14,840.0","14,850.0","14,992.5","14,659.0","","0.07%"
"07/01/2022","14,830.0","14,925.0","15,040.0","14,830.0","","-0.44%"
"06/01/2022","14,895.0","14,572.5","14,897.5","14,420.0","","2.16%"
"05/01/2022","14,580.0","14,510.0","14,738.0","14,502.5","","0.59%"
"04/01/2022","14,495.0","14,360.0","14,502.5","14,328.0","","0.88%"
"03/01/2022","14,368.0","14,355.0","14,420.0","14,255.0","","0.02%"
"02/01/2022","14,365.0","14,315.0","14,409.0","14,246.5","","-0.10%"
"01/01/2022","14,380.0","14,255.0","14,412.5","14,249.0","","0.91%"
"12/01/2021","14,250.0","14,344.0","14,449.0","14,180.0","","-0.49%"
"11/01/2021","14,320.0","14,185.0","14,392.5","14,182.5","","1.09%"
"10/01/2021","14,165.0","14,310.0","14,344.0","14,040.0","","-1.01%"
"09/01/2021","14,310.0","14,265.0","14,335.0","14,176.5","","0.32%"
"08/01/2021","14,265.0","14,465.0","14,485.0","14,260.0","","-1.35%"
"07/01/2021","14,460.0","14,510.0","14,572.5","14,434.5","","-0.24%"
"06/01/2021","14,495.0","14,265.0","14,560.0","14,183.0","","1.54%"
"05/01/2021","14,275.0","14,450.0","14,480.0","14,140.0","","-1.14%"
"04/01/2021","14,440.0","14,530.0","14,639.0","14,424.5","","-0.55%"
"03/01/2021","14,520.0","14,250.0","14,582.0","14,232.5","","1.97%"
"02/01/2021","14,240.0","14,035.0","14,275.0","13,866.0","","1.57%"
"01/01/2021","14,020.0","13,910.0","14,217.5","13,862.5","","-0.14%"
"12/01/2020","14,040.0","14,117.5","14,274.0","14,050.0","","-0.35%"
"11/01/2020","14,090.0","14,650.0","14,717.5","13,992.5","","-3.63%"
"10/01/2020","14,620.0","14,810.0","14,907.0","14,602.5","","-1.48%"
"09/01/2020","14,840.0","14,535.0","14,974.0","14,535.0","","1.92%"
"08/01/2020","14,560.0","14,605.0","14,881.0","14,465.0","","0.21%"
"07/01/2020","14,530.0","14,245.0","14,860.0","14,245.0","","2.47%"
"06/01/2020","14,180.0","14,630.0","14,630.0","13,850.0","","-2.71%"
"05/01/2020","14,575.0","14,960.0","15,152.5","14,607.5","","-1.69%"
"04/01/2020","14,825.0","16,325.0","16,575.0","14,857.5","","-9.05%"
"03/01/2020","16,300.0","14,355.0","16,640.0","14,095.0","","13.67%"
"02/01/2020","14,340.0","13,665.0","14,347.5","13,600.0","","5.05%"
"01/01/2020","13,650.0","13,872.5","13,970.0","13,570.0","","-1.66%"